,Year,Country,Emigrants,International migrants,Net migration,Net migration rate,Population,relative migration,relative migration net,Inmigrants,Inflation,PBI,Female population,Female population aged 20 to 29 years,Female population aged 30 to 39 years,Female population aged 40 to 49 years,Female population aged 50 to 59 years,Female population aged 60 to 69 years,Male population,Male population aged 20 to 29 years,Male population aged 30 to 39 years,Male population aged 40 to 49 years,Male population aged 50 to 59 years,Male population aged 60 to 69 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Returns by origin,Returns by host
31,2005,Canada,1185156.0,6078985.0,1052013.0,6.706,32215914,0.036787905505335,0.0326550722726662,2237169.0,2.21 ,3.20420042827129,16249078,2158005,2249004,2674286,2183472,1401973,15966834,2228053,2289250,2695478,2142980,1330164,4386057,4538258,5369762,4326449,2732136,23,116
32,2010,Canada,1268057.0,6761226.0,1326431.0,8.001,33963416,0.0373359676188048,0.0390546993270641,2594488.0,1.78 ,3.08949461982786,17131340,2311860,2284529,2575737,2462491,1756645,16832076,2360140,2281546,2604705,2458309,1686566,4672001,4566072,5180446,4920798,3443212,26,116
33,2015,Canada,1263552.0,7428657.0,1241416.0,7.076,35732120,0.0353617977326842,0.0347422990855286,2504968.0,1.13 ,0.659176863558869,18003224,2346790,2429981,2414019,2699269,2114917,17728896,2488185,2410072,2393722,2688066,2027508,4834972,4840053,4807738,5387339,4142426,9,2
34,2020,Canada,1292329.0,8049323.0,1210159.0,6.562,37888704,0.034108556471079,0.0319398362108136,2502488.0,0.72 ,-5.23302430280606,19062166,2458140,2611453,2445253,2608406,2412265,18826544,2650830,2655061,2402835,2580251,2307532,5108969,5266511,4848086,5188655,4719796,31,1
35,1990,Chile,493026.0,107501.0,-68650.0,-1.076,13342876,0.0369505045239122,-0.0051450676750649,424376.0,26.04 ,3.33356547444561,6706188,1208506,998938,696922,526920,420117,6636689,1223548,997417,691517,504628,367793,2432050,1996359,1388440,1031549,787910,169,0
36,1995,Chile,499207.0,142417.0,3610.0,0.052,14416799,0.0346267572988983,0.0002504023257867,502817.0,8.23 ,8.93329586932387,7248291,1235189,1120961,843969,570322,471622,7168510,1257841,1117421,831857,551620,416717,2493032,2238380,1675828,1121941,888339,120,0
37,2000,Chile,511997.0,177332.0,19340.0,0.26,15351803,0.0333509360431475,0.001259786879756,531337.0,3.84 ,4.9716214882971,7724134,1243169,1203941,987942,675084,488354,7627659,1272417,1203905,972124,650954,436913,2515589,2407847,1960068,1326040,925269,66,1
38,2005,Chile,541745.0,276360.0,42330.0,0.537,16175315,0.033492083461744,0.002616950581797,584075.0,3.05 ,5.83704571917758,8146399,1272026,1238309,1112798,823395,532309,8028922,1307637,1246668,1093995,792521,484190,2579662,2484979,2206793,1615912,1016499,69,7
39,2010,Chile,571842.0,375388.0,107169.0,1.289,17004166,0.0336295234944189,0.0063025143367807,679011.0,1.41 ,5.85165102224047,8566182,1350866,1258539,1200862,967310,633222,8437986,1393811,1275850,1186193,933517,580899,2744678,2534387,2387055,1900828,1214121,38,5
40,2015,Chile,618015.0,639724.0,163730.0,1.869,17870122,0.0345837034576484,0.0091622206048733,781745.0,4.35 ,2.15194249981184,9004178,1427357,1308580,1245020,1092883,778335,8865950,1476231,1333534,1241228,1055258,720941,2903589,2642114,2486247,2148143,1499272,69,0
41,2020,Chile,643800.0,1645015.0,558539.0,6.024,19300318,0.0333569633412257,0.0289393677347699,1202339.0,3.05 ,-5.9782240617438,9720355,1514628,1492441,1311584,1198732,925127,9579955,1554654,1525066,1321892,1168219,864062,3069282,3017506,2633481,2366952,1789193,45,1
42,1990,Colombia,1009148.0,104277.0,-324000.0,-2.055,32601396,0.0309541346020888,-0.0099382247312354,685148.0,29.14 ,4.28199833053058,16319821,3156484,2315598,1419470,910916,604414,16281578,3192010,2286646,1364825,851403,535911,6348493,4602243,2784295,1762319,1140325,320,0
43,1995,Colombia,1215967.0,106943.0,-287950.0,-1.657,35970104,0.033804934230938,-0.0080052590340022,928017.0,20.90 ,5.2024375925092,18063504,3239762,2777955,1794334,1084523,706531,17906608,3250980,2712348,1721292,1008791,625345,6490740,5490303,3515625,2093316,1331876,293,0
44,2000,Colombia,1433940.0,109609.0,-259000.0,-1.362,39215136,0.0365659830938747,-0.0066045926756444,1174940.0,9.22 ,2.92486148314592,19745252,3379739,3075950,2250728,1355081,817676,19469888,3378977,2983177,2139945,1259170,725176,6758717,6059126,4390672,2614252,1542853,180,0
45,2005,Colombia,1883904.0,106523.0,-231000.0,-1.123,42220944,0.0446201297630863,-0.0054712182655129,1652904.0,5.05 ,4.82876110795085,21300548,3658340,3162682,2709736,1724135,988952,20920384,3669619,3051658,2559042,1601464,875066,7327962,6214343,5268782,3325601,1864018,168,0
46,2010,Colombia,2554020.0,130309.0,-195000.0,-0.888,44816104,0.0569888895295316,-0.0043511145011623,2359020.0,2.27 ,4.49465897070922,22648178,3909102,3297219,3003378,2168653,1250256,22167938,3947630,3191434,2831606,1998151,1107661,7856732,6488653,5834985,4166803,2357914,205,0
